Description,Value
Battery Name,FX50442
Manufacture Name,OEM
Serial Number,  
Manufacture Date,
Power State,Discharging
Current Capacity (in %),76.0%
Current Capacity Value,23.835 mWh
Full Charged Capacity,31.344 mWh
Designed Capacity,47.997 mWh
Battery Health,65.3%
Voltage,10.707 millivolts 
Charge/Discharge Rate ,-19.339 milliwatts 
Chemistry ,Lithium Ion
Low Battery Capacity (1),1.518 mWh
Low Battery Capacity (2),3.036 mWh
Critical Bias,
Number of charge/discharge cycles,0
Battery Temperature,
Remaining battery time for the current activity (Estimated),
Full battery time for the current activity (Estimated),
Remaining time for charging the battery (Estimated),
Total  time for charging the battery (Estimated),
